Station,mean_aqi,max_aqi,pct_days_unhealthy,volatility_7day,season_winter_avg,trend_slope,Cluster,Cluster_Label
BTM Layout,65.14693877551021,198.0,7.346938775510205,14.23749334433261,70.68493150684931,0.03549274167883867,3,Cluster 1: Moderate Pollution
Bapuji Nagar,80.66857142857143,192.0,29.428571428571427,17.189688441587045,101.73033707865169,-0.07675444580888709,2,Cluster 2: High Pollution Hotspots
City Railway Station,83.66820276497695,149.0,13.82488479262673,11.107227425695944,76.609375,0.04707413201050372,3,Cluster 1: Moderate Pollution
Hebbal,59.96219931271477,173.0,10.652920962199312,14.601428544873297,79.4920634920635,-0.04639223955315111,3,Cluster 1: Moderate Pollution
Hombegowda Nagar,54.29131652661064,181.0,5.322128851540616,11.420522694946383,72.81395348837209,-0.09768465794452866,0,Cluster 0: Low Pollution
Jayanagar 5th Block,73.61959654178675,246.0,29.394812680115272,17.051453987651634,105.51764705882353,-0.16751460021517617,2,Cluster 2: High Pollution Hotspots
Jigani,74.59302325581395,196.0,20.54263565891473,16.358994560511558,89.05633802816901,-0.036928470282917826,3,Cluster 1: Moderate Pollution
Kasturi Nagar,82.66279069767442,215.0,35.75581395348838,12.044686663100814,104.89411764705882,-0.2856980723822102,2,Cluster 2: High Pollution Hotspots
Peenya,78.7760736196319,194.0,5.828220858895705,10.587241064973457,78.75280898876404,0.013667689883145503,3,Cluster 1: Moderate Pollution
RVCE-Mailasandra,99.77104377104376,323.0,36.7003367003367,23.88710457470678,119.14084507042253,-0.19164756580863962,1,Cluster 3: Industrial/Traffic
Sanegurava Halli,43.839622641509436,215.0,0.3144654088050315,6.548123467526525,47.53030303030303,-0.05088796214734941,0,Cluster 0: Low Pollution
Shivapura Peenya,71.31123919308358,243.0,12.103746397694524,12.516614918929823,90.41975308641975,-0.02968954545898411,3,Cluster 1: Moderate Pollution
Silk Board,92.79420289855072,500.0,36.231884057971016,23.281030838419316,99.25,-0.043853194386809825,1,Cluster 3: Industrial/Traffic
