Station,mean_aqi,max_aqi,pct_days_unhealthy,volatility_7day,season_winter_avg,trend_slope
BTM Layout,-0.7970420837078219,-0.39662397143191114,-1.0363680557554316,-0.62312554203663,-1.0558287629415497,0.9750857159686065
Bapuji Nagar,0.4622852970978116,-0.4652196915465211,0.8986025389567743,0.7675743515240129,0.7564571931581242,-0.044000864901945644
City Railway Station,0.5204539970244161,-0.9568223523678923,-0.6468830442978547,-1.2624755789067552,-0.5046663759242377,1.4305415041703746
Hebbal,-0.6294532928429933,-0.6824394719094525,-0.317179453203534,-0.09222563239147664,-0.32446245388427636,-0.016356028706872885
Hombegowda Nagar,-1.3817186018616532,-0.5909785117566393,-1.0177995842789658,-0.40675804615190303,-0.8942471989516083,-0.23216155048274772
Jayanagar 5th Block,-0.035515329444496216,0.15214178948496834,0.7955701667397989,0.7372157839134181,0.9090075622374842,-1.1131041481786608
Jigani,0.04051546322484364,-0.4194892114701145,-0.09050823432618824,-0.15385266867191671,0.020143359932445967,0.22293636393621083
Kasturi Nagar,0.49258539159334164,-0.20226943110718298,1.1458802322775148,-0.37606330251607367,0.6911218757237365,-2.362885480045337
Peenya,0.2753411955652034,-0.44235445150831776,-0.9971931098355706,-0.7107421099239232,-0.5311043880953623,1.1758685193063776
RVCE-Mailasandra,1.943062137351598,1.0324535309557958,1.7228615166925763,1.6900138626574592,2.1619262309908773,-1.0939014589948088
Sanegurava Halli,-1.9655565337616399,-0.20226943110718298,-1.2650772775997063,-1.385053140446494,-1.8909906463227288,0.07892137657087715
Shivapura Peenya,-0.18243338022375,0.11784392942766338,-0.5232441976374844,-0.23647457487801052,0.11039726355111137,0.5600116229432172
Silk Board,1.2574757399851386,3.056027274336789,1.3313385022680704,2.05196659782829,0.5522463405259922,0.41904442841470785
