Station,Cluster
BTM Layout,1
Bapuji Nagar,0
City Railway Station,1
Hebbal,1
Hombegowda Nagar,1
Jayanagar 5th Block,0
Jigani,1
Kasturi Nagar,0
Peenya,1
RVCE-Mailasandra,0
Sanegurava Halli,1
Shivapura Peenya,1
Silk Board,0
