Station,Cluster
BTM Layout,-1
Bapuji Nagar,-1
City Railway Station,0
Hebbal,1
Hombegowda Nagar,-1
Jayanagar 5th Block,-1
Jigani,1
Kasturi Nagar,-1
Peenya,0
RVCE-Mailasandra,-1
Sanegurava Halli,-1
Shivapura Peenya,1
Silk Board,-1
